"idx","num_of_columns","columns","wlp","is_comp"
1,7,"1 2 4 8 16 15 19","0 1 2 0 0",FALSE
2,7,"1 2 4 8 16 31 7","0 2 0 1 0",FALSE
3,7,"1 2 4 8 16 7 11","0 3 0 0 0",FALSE
4,7,"1 2 4 8 7 11 13","0 7 0 0 0",FALSE
15,8,"1 2 4 8 16 15 19 21","0 3 4 0 0 0",FALSE
16,8,"1 2 4 8 16 31 7 11","0 5 0 2 0 0",FALSE
17,8,"1 2 4 8 16 7 11 19","0 6 0 0 0 1",FALSE
18,8,"1 2 4 8 16 7 11 13","0 7 0 0 0 0",FALSE
19,8,"8 9 10 11 12 13 14 15","0 14 0 0 0 1",FALSE
36,9,"1 2 4 8 16 15 19 21 25","0 6 8 0 0 1 0",FALSE
37,9,"1 2 4 8 16 15 19 21 22","0 7 7 0 0 0 1",FALSE
38,9,"1 2 4 8 16 31 7 11 21","0 9 0 6 0 0 0",FALSE
39,9,"1 2 4 8 16 31 7 11 13","0 10 0 4 0 1 0",FALSE
40,9,"1 2 4 8 16 7 11 13 14","0 14 0 0 0 1 0",FALSE
70,10,"1 2 4 8 16 15 19 21 25 30","0 10 16 0 0 5 0 0",FALSE
71,10,"1 2 4 8 16 31 7 11 21 25","0 15 0 15 0 0 0 1",FALSE
72,10,"1 2 4 8 16 31 7 11 21 13","0 16 0 12 0 3 0 0",FALSE
73,10,"1 2 4 8 16 31 7 11 13 14","0 18 0 8 0 5 0 0",FALSE
120,11,"1 2 4 8 16 31 7 11 21 25 13","0 25 0 27 0 10 0 1 0",FALSE
121,11,"1 2 4 8 16 31 7 11 21 13 14","0 26 0 24 0 13 0 0 0",FALSE
187,12,"1 2 4 8 16 31 7 11 21 25 13 14","0 38 0 52 0 33 0 4 0 0",FALSE
188,12,"1 2 4 8 16 31 7 11 21 13 14 26","0 39 0 48 0 39 0 0 0 1",FALSE
278,13,"1 2 4 8 16 31 7 11 21 25 13 14 19","0 55 0 96 0 87 0 16 0 1 0",FALSE
391,14,"1 2 4 8 16 31 7 11 21 25 13 14 19 22","0 77 0 168 0 203 0 56 0 7 0 0",FALSE
520,15,"1 2 4 8 16 31 7 11 21 25 13 14 19 22 26","0 105 0 280 0 435 0 168 0 35 0 0 0",FALSE
661,16,"10 12 17 18 19 20 21 22 23 24 25 26 27 28 29 30","23 60 89 141 198 193 146 98 51 18 5 1 0",TRUE
516,17,"9 10 11 12 13 14 18 20 22 24 25 26 27 28 29 30 31","18 42 57 84 104 89 62 36 14 4 1 0",TRUE
515,17,"9 10 12 17 18 19 20 21 22 23 24 25 26 27 28 29 30","18 42 56 85 108 85 56 42 18 0 0 1",TRUE
386,18,"9 10 11 12 13 14 17 18 20 23 24 25 26 27 28 29 30 31","14 29 34 46 54 41 22 10 4 1 0",TRUE
384,18,"9 10 11 12 13 14 18 20 22 23 24 25 26 27 28 29 30 31","14 28 35 50 50 35 28 14 0 0 1",TRUE
383,18,"6 9 10 11 12 13 14 20 22 23 24 25 26 27 28 29 30 31","14 28 34 50 54 35 22 14 4 0 0",TRUE
382,18,"9 10 12 13 14 15 17 18 20 21 22 23 25 26 28 29 30 31","14 23 24 56 76 39 8 8 6 1 0",TRUE
269,19,"5 6 9 10 11 12 13 14 20 22 23 24 25 26 27 28 29 30 31","11 18 18 28 28 13 6 4 1 0",TRUE
268,19,"9 10 12 13 14 15 17 18 20 21 22 23 25 26 27 28 29 30 31","11 16 14 30 36 15 2 2 1 0",TRUE
178,20,"5 6 9 10 11 12 13 14 20 21 22 23 24 25 26 27 28 29 30 31","9 11 7 15 15 4 1 1 0",TRUE
114,21,"9 10 11 12 13 14 15 17 18 19 20 21 22 23 25 26 27 28 29 30 31","8 7 0 7 8 0 0 1",TRUE
55,22,"3 5 6 7 9 10 11 12 13 14 20 21 22 23 24 25 26 27 28 29 30 31","4 3 3 4 0 0 1",TRUE
